keyword,query,value
NIL,nil deal,100
NIL,nil money,95
NIL,nil football,87
NIL,nil deals,63
NIL,what is nil,57
NIL,nil basketball,46
NIL,nil meaning,40
NIL,ncaa,31
NIL,nil sports,28
NIL,nil athletes,28
NIL,what is the nil,19
NIL,nil college sports,13
NIL,college nil deals,12
NIL,nil store,10
NIL,nil rankings,10
NIL,arch manning nil,9
NIL,arch manning,9
NIL,nil stand for,8
NIL,nil collective,8
NIL,what is nil money,8
NIL,nil go,7
NIL,what does nil stand for,7
NIL,carson beck,7
NIL,nico iamaleava nil,6
NIL,aj dybantsa,4
