date,NIL,athlete branding,athlete website
2024-08-18,40,0,28
2024-08-25,50,0,0
2024-09-01,54,0,23
2024-09-08,43,0,24
2024-09-15,52,0,27
2024-09-22,53,0,0
2024-09-29,47,0,0
2024-10-06,41,0,0
2024-10-13,44,0,0
2024-10-20,43,0,0
2024-10-27,39,0,0
2024-11-03,36,0,0
2024-11-10,41,0,0
2024-11-17,49,0,0
2024-11-24,54,0,0
2024-12-01,62,0,0
2024-12-08,68,0,0
2024-12-15,67,0,0
2024-12-22,60,0,0
2024-12-29,100,0,0
2025-01-05,64,0,31
2025-01-12,54,0,33
2025-01-19,62,0,0
2025-01-26,38,0,0
2025-02-02,41,0,0
2025-02-09,37,0,27
2025-02-16,38,0,31
2025-02-23,35,0,24
2025-03-02,35,0,0
2025-03-09,41,0,0
2025-03-16,69,0,0
2025-03-23,81,0,26
2025-03-30,69,0,0
2025-04-06,70,0,28
2025-04-13,73,0,0
2025-04-20,62,0,0
2025-04-27,59,0,24
2025-05-04,38,0,0
2025-05-11,36,0,25
2025-05-18,34,0,0
2025-05-25,32,0,29
2025-06-01,53,0,0
2025-06-08,39,100,47
2025-06-15,36,0,0
2025-06-22,33,0,37
2025-06-29,30,0,29
2025-07-06,33,0,24
2025-07-13,43,0,48
2025-07-20,46,0,55
2025-07-27,36,0,100
2025-08-03,30,7,17
2025-08-10,33,10,18
2025-08-17,29,0,19
