date,athlete_branding,NIL_opportunities,tweet_volume,avg_likes,top_influencer
2024-08-11,0,0,7,32,
2024-08-18,0,0,2,7,
2024-08-25,0,0,19,8,
2024-09-01,0,0,13,22,
2024-09-08,0,0,12,32,
2024-09-15,0,0,16,3,
2024-09-22,0,0,11,4,
2024-09-29,0,0,18,16,
2024-10-06,0,0,14,36,
2024-10-13,0,0,3,39,
2024-10-20,0,0,8,2,
2024-10-27,0,0,16,6,
2024-11-03,0,0,11,24,
2024-11-10,0,0,15,18,
2024-11-17,0,0,7,14,
2024-11-24,0,0,18,15,
2024-12-01,0,0,14,7,
2024-12-08,0,0,3,23,
2024-12-15,0,0,8,41,
2024-12-22,0,0,20,43,
2024-12-29,0,0,18,25,
2025-01-05,0,0,1,3,
2025-01-12,0,0,17,4,
2025-01-19,0,0,16,23,
2025-01-26,0,0,6,2,
2025-02-02,0,0,18,50,
2025-02-09,0,0,6,15,
2025-02-16,100,70,150,420,@SportsBiz
2025-02-23,0,0,18,37,
2025-03-02,0,0,5,44,
2025-03-09,0,0,19,23,
2025-03-16,0,0,2,41,
2025-03-23,0,0,11,23,
2025-03-30,0,86,90,380,@NILInsider
2025-04-06,0,0,17,20,
2025-04-13,0,0,17,17,
2025-04-20,0,0,6,37,
2025-04-27,0,0,19,11,
2025-05-04,0,76,45,210,@CollegeSports
2025-05-11,0,84,60,290,@AthleteBrands
2025-05-18,0,0,20,20,
2025-05-25,71,0,110,530,@ProAthletes
2025-06-01,0,0,20,32,
2025-06-08,0,0,16,48,
2025-06-15,0,90,85,410,@SportAgents
2025-06-22,0,0,18,45,
2025-06-29,0,0,18,17,
2025-07-06,0,0,4,28,
2025-07-13,0,0,20,35,
2025-07-20,0,0,5,21,
2025-07-27,17,14,30,150,@LocalReporter
2025-08-03,69,56,120,480,@MarketingGuru
2025-08-10,93,79,180,620,@BrandExpert
